@relation output-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R31

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 31 numeric
@attribute 32 {-1,0,1}

@data
0.049253,0.038289,0.054678,0,0.060113,-0.207537,0.388573,-0.087227,-0.049108,0.005459,0.207435,0.10895,-0.010883,-0.348299,0.278521,0.163381,-0.244672,0.163514,0.010883,0.087056,-0.103289,-0.005442,0,0.451701,-0.054177,0.140937,-0.368085,0.021732,0.070614,-0.18998,66540,0
-0.084992,-0.010008,0.015013,0,-0.055039,0.075094,0,-0.055028,0.010011,-0.020019,0.065075,-0.04002,-0.060054,0.055083,-0.055052,0.02003,-0.020026,0.015023,0.005007,0.01502,0.030035,0.005004,-0.080064,0.080128,-0.02502,0.055058,-0.08004,0.005007,-0.025031,0.04006,74940,0
0,-0.032274,0.231369,-0.134207,-0.048379,-0.129074,-0.080775,0.09162,0.010769,-0.010768,0.064613,-0.048429,-0.026918,-0.016155,0.037701,0.06999,-0.048421,-0.043062,0.04308,-0.037679,-0.005385,0.026925,-0.086137,0,-0.064659,0.043134,0.010779,0.096998,-0.199192,0.172618,60720,0
0,0.074623,0,-0.005326,0.010653,0.042608,0.031942,0.05322,0,0.026596,-0.095719,-0.015968,-0.111797,0.127911,-0.079842,-0.047944,0,0.111922,0.021295,0.069193,-0.09574,0.090507,0.06383,0,0.026579,0,0,0,0.079715,-0.026551,64260,0
0.089505,-0.011178,0.00559,-0.145324,0.005598,0,-0.016792,0,0.050383,0.011191,0,-0.234978,-0.112158,-0.17404,-0.089984,-0.011258,-0.056297,0,0.681575,-0.671366,0.090121,0.174451,-0.089883,-0.022491,-0.033744,0.050633,0.112461,-0.011233,0.162903,-0.297235,63420,1
-0.087666,0.180971,-0.109481,-0.312363,-0.021989,-0.054984,0.088023,-0.115429,0.066036,0.016498,-0.010997,-0.027495,0.060506,0.027486,0.043966,-0.010987,-0.153829,0.060526,-0.016497,-0.175998,-0.055096,0,-0.011025,0.038593,-0.060623,0.077203,-0.022041,-0.143298,0.121426,0.033076,72720,1
0.005388,-0.091585,0.064707,0.026944,-0.016162,-0.043106,-0.032343,0.005392,0.059312,0.016166,-0.080819,0.016177,-0.048523,-0.037758,-0.032376,0.091763,-0.048536,-0.097119,0.037805,-0.048588,-0.054013,0.027021,0.027014,-0.194447,0.027059,-0.086566,0.140792,0.04326,-0.054051,0.189281,75480,-1
-0.032445,0.048683,-0.032439,0.070308,0,0.113495,-0.021594,0.070194,-0.032375,-0.124143,0.03783,0,0,-0.086435,0.043255,-0.016214,0,0,0.021622,0,-0.064851,0.032446,0.037842,-0.010808,0.021618,-0.027017,-0.064858,0.070308,-0.054045,0.02163,67140,-1
-0.064739,-0.178147,-0.021632,0.075729,-0.064861,0.021634,0.081112,-0.064837,-0.005407,-0.097324,0.124479,-0.021622,-0.01622,-0.25415,-0.010842,0.065062,-0.314261,0.108707,-0.130307,-0.043492,0.087023,0.108684,0.059711,-0.135626,0.103216,0.439572,-0.637562,0.62534,-0.075655,0.102753,56580,-1
0.304348,-0.709796,0.31105,0.097922,-0.059783,0.081571,-0.119539,0.097922,0.625,-0.032406,0.378194,-0.53286,-0.167749,0.731747,-0.597288,0.227359,0.243046,-0.102371,-0.026967,-0.064739,-0.178147,-0.021632,0.075729,-0.064861,0.021634,0.081112,-0.064837,-0.005407,-0.097324,0.124479,55440,0
0.026817,-0.010724,-0.075075,-0.064398,-0.02148,-0.04834,-0.053737,0.04839,0,0.021496,0,-0.048356,0,0.096759,-0.016111,0,-0.241702,-0.026921,0,0.280052,0,-0.257787,-0.032307,0.021545,0,0.01077,0.156149,-0.032256,0,0,73620,1
0,0.053608,-0.075011,0.117962,-0.032134,-0.117861,0.252092,-0.032101,-0.149853,0.053599,0,-0.064285,0.037523,0.005358,-0.053582,0.128666,0.117792,0.005348,0.053476,0,0,0,0.005345,-0.042756,0.112281,-0.053407,0.032062,0.016026,0,0.010682,67800,1
-0.005029,0.105623,-0.11556,0.045272,0.02514,0,0.010053,0.030157,0.100492,0,-0.055215,-0.015067,0,-0.0653,0,0.115607,0.040165,0,-0.075279,0.010045,0,-0.05524,-0.010049,0.221106,-0.060168,0.195665,0.080116,-0.21514,0.065183,0,67200,1
0.027497,-0.016493,-0.335423,0.198621,0.143164,-0.087975,0.110065,0.093453,-0.087873,-0.010994,0.06597,0.016482,0.104367,-0.065847,0.021964,-0.104304,0.137385,-0.038415,0.00549,0.093325,-0.010969,0.01097,0.126145,-0.005478,0.032868,-0.038333,-0.071217,0.104161,0.235487,-0.021854,74580,-1
